Адрес,Код,IP,CR,AR,DR,SP,BR,AC,NZVC,Новый адрес,Новый Код
584,0200,585,0200,584,0200,000,0584,0000,0100,   ,    
585,EEFD,586,EEFD,583,0000,000,FFFD,0000,0100,583,0000
586,AF05,587,AF05,586,0005,000,0005,0005,0000,   ,    
587,EEFA,588,EEFA,582,0005,000,FFFA,0005,0000,582,0005
588,4EF7,589,4EF7,580,0596,000,FFF7,059B,0000,   ,    
589,EEF7,58A,EEF7,581,059B,000,FFF7,059B,0000,581,059B
58A,ABF6,58B,ABF6,59A,0680,000,FFF6,0680,0000,   ,    
58B,F002,58C,F002,58B,F002,000,058B,0680,0000,581,059A
58C,0300,58D,0300,58C,0300,000,058C,0680,0000,   ,    
58D,0380,58E,0380,58D,0380,000,058D,0680,0001,   ,    
58E,0200,58F,0200,58E,0200,000,058E,0000,0101,   ,    
58F,0280,590,0280,58F,0280,000,058F,FFFF,1001,   ,    
590,2EF2,591,2EF2,583,0000,000,FFF2,0000,0101,   ,    
591,0400,592,0400,591,0400,000,0591,0001,0000,   ,    
592,EEF0,593,EEF0,583,0001,000,FFF0,0001,0000,583,0001
593,8582,594,8582,582,0003,000,0593,0001,0000,582,0004
589,CEF5,58A,CEF5,594,058A,000,FFF5,0001,0000,   ,    
58A,ABF6,58B,ABF6,599,0E00,000,FFF6,0E00,0000,   ,    
58B,F002,58C,F002,58B,F002,000,058B,0E00,0000,581,0599
58C,0300,58D,0300,58C,0300,000,058C,0E00,0000,   ,    
58D,0380,58E,0380,58D,0380,000,058D,0E00,0001,   ,    
58E,0200,58F,0200,58E,0200,000,058E,0000,0101,   ,    
58F,0280,590,0280,58F,0280,000,058F,FFFF,1001,   ,    
590,2EF2,591,2EF2,583,0001,000,FFF2,0001,0001,   ,    
591,0400,592,0400,591,0400,000,0591,0003,0000,   ,    
592,EEF0,593,EEF0,583,0003,000,FFF0,0003,0000,583,0003
593,8582,594,8582,582,0002,000,0593,0003,0000,582,0003
589,CEF5,58A,CEF5,594,058A,000,FFF5,0003,0000,   ,    
58A,ABF6,58B,ABF6,598,0000,000,FFF6,0000,0100,   ,    
58D,F002,58E,F002,58B,F002,000,0002,0000,0100,581,0598
58E,0200,58F,0200,58E,0200,000,058E,0000,0100,   ,    
58F,0280,590,0280,58F,0280,000,058F,FFFF,1000,   ,    
590,2EF2,591,2EF2,583,0003,000,FFF2,0003,0000,   ,    
591,0400,592,0400,591,0400,000,0591,0006,0000,   ,    
592,EEF0,593,EEF0,583,0006,000,FFF0,0006,0000,583,0006
593,8582,594,8582,582,0001,000,0593,0006,0000,582,0002
589,CEF5,58A,CEF5,594,058A,000,FFF5,0006,0000,   ,    
58A,ABF6,58B,ABF6,597,B588,000,FFF6,B588,1000,   ,    
58B,F002,58C,F002,58B,F002,000,058B,B588,1000,581,0597
58C,0300,58D,0300,58C,0300,000,058C,B588,1000,   ,    
58D,0380,58E,0380,58D,0380,000,058D,B588,1001,   ,    
58E,0200,58F,0200,58E,0200,000,058E,0000,0101,   ,    
58F,0280,590,0280,58F,0280,000,058F,FFFF,1001,   ,    
590,2EF2,591,2EF2,583,0006,000,FFF2,0006,0001,   ,    
591,0400,592,0400,591,0400,000,0591,000D,0000,   ,    
592,EEF0,593,EEF0,583,000D,000,FFF0,000D,0000,583,000D
593,8582,594,8582,582,0000,000,0593,000D,0000,582,0001
589,CEF5,58A,CEF5,594,058A,000,FFF5,000D,0000,   ,    
58A,ABF6,58B,ABF6,596,3586,000,FFF6,3586,0000,   ,    
58B,F002,58C,F002,58B,F002,000,058B,3586,0000,581,0596
58C,0300,58D,0300,58C,0300,000,058C,3586,0000,   ,    
58D,0380,58E,0380,58D,0380,000,058D,3586,0001,   ,    
58E,0200,58F,0200,58E,0200,000,058E,0000,0101,   ,    
58F,0280,590,0280,58F,0280,000,058F,FFFF,1001,   ,    
590,2EF2,591,2EF2,583,000D,000,FFF2,000D,0001,   ,    
591,0400,592,0400,591,0400,000,0591,001B,0000,   ,    
592,EEF0,593,EEF0,583,001B,000,FFF0,001B,0000,583,001B
594,8582,595,8582,582,FFFF,000,0593,001B,0000,582,0000
595,0100,596,0100,595,0100,000,0595,001B,0000,   ,    
