Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
345   	0200   	346	0200	345	0200	000	0345	0000	0100	           	         
346   	EEFD   	347	EEFD	344	0000	000	FFFD	0000	0100	344        	0000     
347   	AF05   	348	AF05	347	0005	000	0005	0005	0000	           	         
348   	EEFA   	349	EEFA	343	0005	000	FFFA	0005	0000	343        	0005     
349   	AEF7   	34A	AEF7	341	0354	000	FFF7	0354	0000	           	         
34A   	EEF7   	34B	EEF7	342	0354	000	FFF7	0354	0000	342        	0354     
34B   	AAF6   	34C	AAF6	354	0001	000	FFF6	0001	0000	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	0000	0111	342        	0355     
34D   	0380   	34E	0380	34D	0380	000	034D	0000	0110	           	         
34E   	F402   	34F	F402	34E	F402	000	034E	0000	0110	           	         
34F   	0380   	350	0380	34F	0380	000	034F	0000	0111	           	         
350   	0400   	351	0400	350	0400	000	0350	0001	0000	           	         
351   	8343   	352	8343	343	0003	000	0351	0001	0000	343        	0004     
34A   	CEF8   	34B	CEF8	352	034B	000	FFF8	0001	0000	           	         
34B   	AAF6   	34C	AAF6	355	0002	000	FFF6	0002	0000	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	0001	0000	342        	0356     
34D   	0380   	34E	0380	34D	0380	000	034D	0001	0001	           	         
350   	F402   	351	F402	34E	F402	000	0002	0001	0001	           	         
351   	8343   	352	8343	343	0002	000	0351	0001	0001	343        	0003     
34A   	CEF8   	34B	CEF8	352	034B	000	FFF8	0001	0001	           	         
34B   	AAF6   	34C	AAF6	356	0000	000	FFF6	0000	0101	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	8000	1010	342        	0357     
34D   	0380   	34E	0380	34D	0380	000	034D	8000	1011	           	         
350   	F402   	351	F402	34E	F402	000	0002	8000	1011	           	         
351   	8343   	352	8343	343	0001	000	0351	8000	1011	343        	0002     
34A   	CEF8   	34B	CEF8	352	034B	000	FFF8	8000	1011	           	         
34B   	AAF6   	34C	AAF6	357	FFFC	000	FFF6	FFFC	1001	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	FFFE	1010	342        	0358     
34D   	0380   	34E	0380	34D	0380	000	034D	FFFE	1011	           	         
350   	F402   	351	F402	34E	F402	000	0002	FFFE	1011	           	         
351   	8343   	352	8343	343	0000	000	0351	FFFE	1011	343        	0001     
34A   	CEF8   	34B	CEF8	352	034B	000	FFF8	FFFE	1011	           	         
34B   	AAF6   	34C	AAF6	358	FFFB	000	FFF6	FFFB	1001	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	FFFD	1001	342        	0359     
34D   	0380   	34E	0380	34D	0380	000	034D	FFFD	1000	           	         
34E   	F402   	34F	F402	34E	F402	000	034E	FFFD	1000	           	         
34F   	0380   	350	0380	34F	0380	000	034F	FFFD	1001	           	         
350   	0400   	351	0400	350	0400	000	0350	FFFB	1001	           	         
352   	8343   	353	8343	343	FFFF	000	0351	FFFB	1001	343        	0000     
353   	0100   	354	0100	353	0100	000	0353	FFFB	1001	           	         
