Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
5CB   	0200   	5CC	0200	5CB	0200	000	05CB	0000	0100	           	         
5CC   	EEFD   	5CD	EEFD	5CA	0000	000	FFFD	0000	0100	5CA        	0000     
5CD   	AF04   	5CE	AF04	5CD	0004	000	0004	0004	0000	           	         
5CE   	EEFA   	5CF	EEFA	5C9	0004	000	FFFA	0004	0000	5C9        	0004     
5CF   	AEF7   	5D0	AEF7	5C7	05D9	000	FFF7	05D9	0000	           	         
5D0   	EEF7   	5D1	EEF7	5C8	05D9	000	FFF7	05D9	0000	5C8        	05D9     
5D1   	AAF6   	5D2	AAF6	5D9	F000	000	FFF6	05D9	0000	           	         
5D5   	F203   	5D6	F203	5D2	F203	000	0003	F000	1000	           	         
5D6   	85C9   	5D7	85C9	5C9	0002	000	05D6	F000	1000	5C9        	0003     
5D0   	CEF9   	5D1	CEF9	5D7	05D1	000	FFF9	F000	1000	           	         
5D1   	AAF6   	5D2	AAF6	5DA	0D00	000	FFF6	F000	1000	           	         
5D2   	F203   	5D3	F203	5D2	F203	000	05D2	0D00	0000	           	         
5D3   	F002   	5D4	F002	5D3	F002	000	05D3	0D00	0000	           	         
5D4   	4EF5   	5D5	4EF5	5CA	0000	000	FFF5	0D00	0000	5C8        	05DB     
5D5   	EEF4   	5D6	EEF4	5CA	0D00	000	FFF4	0D00	0000	5CA        	0D00     
5D6   	85C9   	5D7	85C9	5C9	0001	000	05D6	0D00	0000	5C9        	0002     
5D0   	CEF9   	5D1	CEF9	5D7	05D1	000	FFF9	0D00	0000	           	         
5D1   	AAF6   	5D2	AAF6	5DB	0100	000	FFF6	0D00	0000	           	         
5D2   	F203   	5D3	F203	5D2	F203	000	05D2	0100	0000	           	         
5D3   	F002   	5D4	F002	5D3	F002	000	05D3	0100	0000	           	         
5D4   	4EF5   	5D5	4EF5	5CA	0D00	000	FFF5	0E00	0000	5C8        	05DC     
5D5   	EEF4   	5D6	EEF4	5CA	0E00	000	FFF4	0E00	0000	5CA        	0E00     
5D6   	85C9   	5D7	85C9	5C9	0000	000	05D6	0E00	0000	5C9        	0001     
5D0   	CEF9   	5D1	CEF9	5D7	05D1	000	FFF9	0E00	0000	           	         
5D1   	AAF6   	5D2	AAF6	5DC	0000	000	FFF6	0E00	0000	           	         
5D2   	F203   	5D3	F203	5D2	F203	000	05D2	0000	0100	           	         
5D5   	F002   	5D6	F002	5D3	F002	000	0002	0000	0100	           	         
5D7   	85C9   	5D8	85C9	5C9	FFFF	000	05D6	0000	0100	5C9        	0000     
5D8   	0100   	5D9	0100	5D8	0100	000	05D8	0000	0100	           	         
