Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
00D   	0200   	00E	0200	00D	0200	000	000D	0000	0100	           	         
00E   	0280   	00F	0280	00E	0280	000	000E	FFFF	1000	           	         
00F   	200A   	010	200A	00A	1715	000	000F	1715	0000	           	         
010   	0300   	011	0300	010	0300	000	0010	1715	0000	           	         
011   	0400   	012	0400	011	0400	000	0011	2E2A	0000	           	         
012   	0500   	013	0500	012	2E2A	000	0012	5C54	0000	           	         
013   	0280   	014	0280	013	0280	000	0013	A3AB	1000	           	         
014   	0700   	015	0700	014	0700	000	0014	A3AC	1000	           	         
015   	400B   	016	400B	00B	7956	000	0015	1D02	0001	           	         
016   	0740   	017	0740	016	0740	000	0016	1D01	0001	           	         
017   	E00C   	018	E00C	00C	1D01	000	0017	1D01	0001	00C        	1D01     
018   	0100   	019	0100	018	0100	000	0018	1D01	0001	           	         
