Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
254   	0200   	255	E200	200	0000	000	0254	0000	0000	           	         
255   	EEFD   	256	EEFD	253	0000	000	FFFD	0000	0000	           	         
256   	AF03   	257	AF03	256	0003	000	0003	0003	0000	           	         
257   	EEFA   	258	EEFA	252	0003	000	FFFA	0003	0000	252        	0003     
258   	4EF7   	259	4EF7	250	0264	000	FFF7	0267	0000	           	         
259   	EEF7   	25A	EEF7	251	0267	000	FFF7	0267	0000	251        	0267     
25A   	ABF6   	25B	ABF6	266	7255	000	FFF6	7255	0000	           	         
25B   	0480   	25C	0480	25B	0480	000	025B	392A	0011	251        	0266     
25C   	0200   	25D	0200	25C	0200	000	025C	0000	0101	           	         
25D   	0280   	25E	0280	25D	0280	000	025D	FFFF	1001	           	         
25E   	2EF4   	25F	2EF4	253	0000	000	FFF4	0000	0101	           	         
25F   	0400   	260	0400	25F	0400	000	025F	0001	0000	           	         
260   	EEF2   	261	EEF2	253	0001	000	FFF2	0001	0000	253        	0001     
261   	8252   	262	8252	252	0001	000	0261	0001	0000	252        	0002     
262   	CEF7   	25A	CEF7	262	025A	000	FFF7	0001	0000	           	         
263   	0100   	25B	ABF6	265	4259	000	FFF6	4259	0000	           	         
264   	F201   	25C	0480	25B	0480	000	025B	212C	0011	251        	0265     
265   	4259   	25D	0200	25C	0200	000	025C	0000	0101	           	         
266   	7255   	25E	0280	25D	0280	000	025D	FFFF	1001	           	         
